Subject,Email,Label
re : deal 338634 meter 985077,"daren ,
this has not yet shown up in unify . did you use the same deal ticket ?
daren j farmer @ ect
03 / 20 / 2001 10 : 53 am
to : michael olsen / na / enron @ enron
cc :
subject : re : deal 338634 meter 985077
done .
michael olsen @ enron
03 / 20 / 2001 10 : 48 am
to : daren j farmer / hou / ect @ ect
cc :
subject : deal 338634 meter 985077
the above deal was in the system for 7 / 1 / 00 to 12 / 31 / 00 . we have had
continued flow on the following dates . . .
1 / 4 / 01 to 1 / 8 / 01
1 / 29 / 01
2 / 7 / 01 to 2 / 28 / 01
the total flow has been 2804 .
can this deal be extended to cover the january and february flow ?",0
re : cp & l,"i do not have a record of a spot deal in my notes or my deal sheet . if bob wants to call me with a tape that would be great . the . 085 difference results in $ 405 so i will call bob and try to put this to bed . as of now leave it allocated to a term deal .
daren j farmer
03 / 28 / 2001 01 : 55 pm
to : rebecca griffin / na / enron @ enron , gary w lamphier / hou / ect @ ect , ilene erskine / hou / azurix @ azurix
cc :
subject : re : cp & l
a volume of 6 , 289 mmbtu flowed over the noms for cp & l . i don ' t have a record of a spot deal with them for that day .
gary - currently , that volume has been allocated to the term agreement . the price difference on that day is significant . ( hsc gd mid was 5 . 245 ) . if you don ' t have a record of a spot deal , the allocation should stand as it is .
d
rebecca griffin @ enron
03 / 27 / 2001 04 : 08 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : re : cp & l
daren ,
i am handling cp & l and am trying to resolve this issue from february production . cp & l shows 5 , 000 mmbtu on february 21 , but we do not have a deal . were you able to find anything out about this ?
thanks for your help .
rebecca
- - - - - - - - - - - - - - - - - - - - - - forwarded by rebecca griffin / na / enron on 03 / 27 / 2001 04 : 04 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
katherine herrera
03 / 26 / 2001 09 : 57 am
to : rebecca griffin / na / enron @ enron
cc :
subject : re : cp & l
- - - - - - - - - - - - - - - - - - - - - - forwarded by katherine herrera / corp / enron on 03 / 26 / 2001 09 : 46 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : gary w lamphier @ ect 03 / 26 / 2001 09 : 52 am
to : daren j farmer / hou / ect @ ect
cc : katherine herrera / corp / enron @ enron
subject : re : cp & l
can we verified this gas flowed ? if it did it should have been billed on his term deal if there was one in place . if the gas flowed and we did not invoice for it on term let me know and i will put it in .
janet h wallis
03 / 22 / 2001 04 : 53 pm
to : gary w lamphier / hou / ect @ ect
cc : katherine herrera / corp / enron @ enron
subject : cp & l
bob says he was not billed for a purchase he made from you at 5 k $ 5 . 16 on feb 21 st . will you check this out and get with
bob a and katherine herrera .
jw",0
work assignments,"mike
i see that you have alot of the things that are on the error report , some of
which i am not sure that i have assigned to you . if anyone tells you that
you are now doing something off of their desk , please refer them to me at
this time . i don ' t want anyone to dump any the "" crap "" , or less savory work
off of t heir desks onto you ( we all have things we would prefer not to have
to do which still must be done , it just comes with the territory ) . also , let
me know if you feel comfortable with any additional shipper accounts . i
would like to see you crosstrain with sabrae after the holidays .
thanks ,
mary",0
tdk cd labeling kit @ $ 12 . 00,"cd
labeling kit
$ 12 . 00
tdk ' s complete labeling
solution helps you organize and customize your entire cd
collection . - create your own layouts or choose from
a multitude of backgrounds . - one step easy - to - use
label applicator . just peel , place and press . -
assures accurate placement of label onto cd . - same
size as a standard jewel case for easy storage . -
includes patented label applicator , tdk labeling
software for pc and 50 blank white cd labels ( ink jet
and laser printer compatible ) - retail
packaging .
visit : http : / www . computron - me . com for deals
!
your one stop / office # td
01 , jebel ali duty free zonedubai , uae . www . computron - me . com
for latest clearance sale listing contact our
sales department .
for further details please send
your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com
compaq
hewlett packard
3 com
dell
intel
iomega
epson
aopen
creative
toshiba
apc
cisco
us
robotics
microsoft
canon
intellinet
targus
viewsonic
ibm
sony
- - - - - - - and lots more
! ! !
if you have any
complaints / suggestions contact : customerservice @ computron - me . com
tel + 971 4
8834464
all prices in u . s . dollars , ex - works ,
fax + 971 4
8834454
jebel ali duty free zone
www . computron - me . com
prices and availability subject to change
usa -
canada u . a . e .
without
notice .
to receive our special offers
in plain
text format reply to this
mail with the request * for
export only *
this
email can not be considered spam as long as we include : contact
information remove instructions . this message is intended for dealer
and resellers only . if you have somehow gotten on this list in error , or
for any other reason would like to be removed , please reply with "" remove
"" in the subject line of your message . this message is being sent to you
in compliance with the federal legislation for commercial e - mail
( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii
passed by the 105 th u . s . congress .
all logos and
trademarks are the property of their respective
owners
products may not be exactly as shown
above
- -
to unsubscribe from : computron 6 , just follow this link :
click the link , or copy and paste the address into your browser .",1
"record sales , profits , earnings , stock price and trading for leth jylra","market mover stock report ' s last pick ( cwtd ) exploded from $ 1 . 19 to
$ 9 . 20 , a gain of over 670 % in 5 days ( feb 12 - 17 ) ! ! !
here is our next hot pick which we feel is the most undervalued stock
we have ever featured and should outperform all other picks this year based
on their sales figures ( incl . a backlog of over $ 100 million ) , incredibly solid
numbers , and low outstanding share total .
life energy and technology holdings , inc .
( otcbb : leth )
current price : 2 . 45
near - term target : 7 . 00
projected high for ' 04 : 15 . 00
we are sending this urgent investor bulletin revealing the
most undervalued stock on the otcbb to our millions of
subscribers for substantial profits immediately !
sales orders received by leth exceed $ 150 million over the past year
while major news was just released that adds multi - millions to the bottom
line . leth has experienced a recent spike in price and volume indicating
heavy accumulation of shares which is a sign of even bigger things to come
for this emerging world leader in the conversion of waste materials into
electrical energy , an industry with such high global demand that it is
impossible to assign a value to the size of the market .
( mar 9 ' 04 ) urgent news update :
leth announces the sale of two ( 2 ) biosphere process systems to
procura international limited for $ 14 million with an option for the sale of
an additional 98 systems over the next 24 months .
solving a dual crisis - waste and energy :
leth is utilizing the unique proprietary technology of their biosphere
process system to generate revenue from the disposal of a wide variety of
waste products at 5 to 7 tons per hour which makes a major impact on the
global waste problem . this profitable and environmentally safe process
converts into clean , green electricity such waste materials as municipal
solid waste , agricultural wastes , forestry wastes , medical wastes , industrial
wastes , sewage sludge , shale oil , sour natural gas , and the huge market of
used tires . leth profits from the sale of electricity created from the waste
conversion on a continuous basis by generating 5 to 10 mega - watts per hour
of electricity which is then sold to replenish the local or national grid .
( mar 3 ' 04 ) leth release major product delivery and net profit news
leth delivered 12 biosphere process systems which resulted in a net profit
of $ 3 . 5 million , the equivalent of . 12 cents per share . leth is scheduled to
receive an additional $ 7 million translating into an additional . 24 cents per
share which is the balance of this completed contract over the next 6 months .
the net profit per share from just this single contract would value the stock
above $ 6 by calculating the . 36 cents per share total at an average industry
pe of 18 - 22 .
examining leth - by the numbers
total assets : 36 . 8 million = 1 . 26 per share of assets
cash : 23 . 4 million = . 80 cents per share of cash
shares outstanding : 29 million ( down from 31 . 8 million ) after 2 . 8 million
shares retired in feb . ' 04
additional shares to be retired : 1 . 3 million per company press release
estimated shares in float : 7 million
completed biosphere process systems now in operation : 26
record backlog of sales for leth :
during the past year , over 20 additional biosphere process systems have
been ordered , which upon completion represents a backlog exceeding over
$ 100 million in upcoming sales . many of these contractual agreements
include options for the purchase of additional biosphere systems in the
future once the initial order has been completed . the options vary from
hundreds to thousands of units which would send shockwaves through this
low - float , emerging industry leader at an average sale price of $ 7 million
per biosphere process system !
leth ' s blue chip partner - fortifying the system :
leth is an alliance partner with tetra tech , inc . ( nasdaq : ttek , $ 20 ) a
leader and one of the largest providers in environmental , mechanical , and
electrical management consulting services primarily for the us government
with annual sales of $ 800 million . tetra tech will coordinate the securing of
necessary permits , installation , and continuous worldwide monitoring of the
biosphere process system for leth . tetra tech is now in the process of
obtaining department of environmental quality permitting for the
biosphere process in the state of louisiana . this is a monumental event for
leth which opens the floodgates for major project revenues in louisiana
while having a parallel effect on leth stock in the form of a huge near -
term announcement .
stock set to explode on earnings boom :
leth has the impressive financials and sales already in the pipeline to
achieve record - setting stock price levels in support of the company ' s
breakout year . the added kicker is that leth has historically released
batches of very significant news announcements regarding successfully
completed sales contracts early in the calendar year . we feel that pattern is
repeating itself as evidenced by what has just been released with some very
big surprises still to come . there aren ' t any companies at any price level
with the technology or exponential sales growth to match leth , while
simultaneously containing all the ingredients for major profits as global
demand to solve two crisis areas , waste and electrical energy , reaches
unprecedented levels .
required market mover stock report ( mmsr ) information : mmsr
cautions that small and micro - cap stocks are high - risk investments and that
some or all investment dollars can be lost . we suggest you consult a
professional investment advisor before purchasing any stock . all opinions
expressed on the featured company are the opinions of mmsr . mmsr
recommends you use the information found here as an initial starting point
for conducting your own research and your own due diligence on the
featured company in order to determine your own personal opinion of the
company before investing . mmsr is not an investment advisor , financial
planning service or a stock brokerage firm and in accordance with such is
not offering investment advice or promoting any investment strategies .
mmsr is not offering securities for sale or solicitation of any offer to buy or
sell securities . mmsr has received twelve thousand dollars from an
unaffiliated third party for the preparation of this company profile . since we
have received compensation there is an inherent conflict of interest in our
statements and opinions . readers of this publication are cautioned not to
place undue reliance on forward looking statements , which are based on
certain assumptions and expectations involving various risks and
uncertainties , that could cause results to differ materially from those set forth
in the forward looking statements .
mb nlz",1
quick way to buy soft - ware,"variety of top manufacturer software at wholesale cheap pricing !
satisfaction and lowest prices guaranteed !
at our soft portal we stock major brands like microsoft , adobe , symantec , macafee , and much more .
just take a quick look and you will reveal hundreds of titles priced lower than most wholesalers .
microsoft windows xp professional
$ 50
adobe photoshop cs v 8 . 0 pc
$ 80
microsoft office xp professional
$ 100
microsoft windows 2000 professional
$ 50
adobe pagemaker v 7 . 0 pc
$ 80
adobe illustrator cs v 11 . 0 pc
$ 80
coreldraw graphics suite v 12 pc
$ 100
microsoft sql server 2000
$ 90
symantec norton antivirus 2004 professional
$ 15
symantec norton systemworks 2003 professional
$ 50
micorosoft windows 2000 server
$ 70
adobe acrobat v 6 . 0 professional pc
$ 100
microsoft office 2003 professional
$ 80
microsoft windows 2003 enterprise server
$ 100
redhat linux 9 . 0
$ 60
search for more software . . .
don ' t waste and save ! install and enjoy !",1
health order for paliourg,"how ' re you doing there , paliourg
cialis soft tabs acts up to 36 hours , compare this to only two or three hours of viagra action !
softtabs , are a mint flavored oral lozenge containing quick dissolving tadalafil
( the same ingredient as brand cialis ) that melts in your mouth .
simply disolve half a tablet under your tongue 15 minutes before sex .
all orders will be processed and dispatched within 24 hrs .
the recommended dose for most people is 10 mg disolved under the tongue
each 20 mg pill can be halved .
4 pills 20 mg $ 4 . 99 per 10 mg $ 39 . 95 in total
8 pills 20 mg $ 4 . 37 per 10 mg $ 69 . 95 in total
30 pills 20 mg $ 2 . 49 per 10 mg $ 149 . 95 in total
60 pills 20 mg $ 2 . 39 per 10 mg $ 289 . 95 in total
100 pills 20 mg $ 1 . 98 per 10 mg $ 399 . 95 in total
order",1
horny mature babe posing and smiling,"wildest mature moms doing wildest things in these shocking videos and photos !
they are old , fat , boiler sluts , but they still love fucking ! that s why they
team up with young sexy boys to have fun with . they love fucking young boys as
no one does ! watch them doing it . thousands of wildest mature videos , photos and
stories . the real mature shit !
http : / / bankrupt . mature 4 you . info / mvl /",1
re : columbus energy deals,"fyi for you daren .
- - - - - - - - - - - - - - - - - - - - - - forwarded by tom acton / corp / enron on 02 / 29 / 2000 04 : 26
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : melissa graves @ ect 02 / 29 / 2000 01 : 16 pm
to : tom acton / corp / enron @ enron
cc : donald p reinhardt / hou / ect @ ect , susan smith / hou / ect @ ect , vance l
taylor / hou / ect @ ect , julie meyers / hou / ect @ ect , amelia alland / hou / ect @ ect
subject : re : columbus energy deals
tom ,
please add the following to the one month ticket with columbus energy for
march ( deal number : 203354 )
counterparty meter volumes price
columbus energy corp . 6746 811 mmbtu 95 % gas daily hsc
"" 6764 426 mmbtu ""
"" 9634 1474 mmbtu ""
thank you ,
melissa
tom acton @ enron
02 / 29 / 2000 12 : 49 pm
to : melissa graves / hou / ect @ ect
cc :
subject : re : columbus energy deals
just send me a lotus note with all the info that i will need , then i can put
it in my file when i ' m done .",0
"revision - enron / hpl actuals for sept . 8 - 10 , 2000","september 8 , 2000
teco tap 50 . 000 / hpl iferc ; 25 . 000 / enron
ls hpl lsk ic 15 . 000 / enron
september 9 , 2000
teco tap 15 . 417 / hpl iferc ; 69 . 583 / hpl gas daily ; 40 . 000 /
enron
september 10 , 2000
teco tap 112 . 500 / hpl gas daily ; 25 . 000 / enron
ls hpl lsk c 15 . 000 / enron
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
09 / 11 / 2000
03 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
melissa jones
09 / 11 / 2000 01 : 31 pm
to : charlie stone / texas utilities @ tu , gary green / texas utilities @ tu ,
daren . j . farmer @ enron . com , gary . a . hanks @ enron . com ,
carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com ,
ami . chokshi @ enron . com
cc :
subject : enron / hpl actuals for sept . 8 - 10 , 2000
september 8 , 2000
teco tap 50 . 000 / hpl iferc ; 25 . 000 / enron
ls hpl lsk ic 15 . 000 / enron
september 9 , 2000
teco tap 85 . 000 / hpl iferc ; 40 . 000 / enron
september 10 , 2000
teco tap 112 . 500 / hpl iferc ; 25 . 000 / enron
ls hpl lsk ic 15 . 000 / enron",0
